Author,CanonicalLink,Description,ISBN,ISBN Valid,ImageLink,Language,PublishedDate,Publisher,Subjects,Title,google_api_title,i
"Valous, Guy de",https://books.google.com/books/about/Le_monachisme_clunisien_des_origines_au.html?hl=&id=hzDkAAAAMAAJ,,,,http://books.google.com/books/content?id=hzDkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1935,A et J Picard,Ordre de Cluny--origines / 15e s.; abbaye--Bénédictins--Cluny (France)--origines / 15e s.,Le monachisme clunisien des origines au XVe siècle : vie intérieure des monastères et organisation de l'ordre /,Le monachisme clunisien des origines au XVe siècle,8207
"Noël Golvers, François de Rougemont",https://books.google.com/books/about/Fran%C3%A7ois_de_Rougemont_S_J_Missionary_in.html?hl=&id=p_0u11hYbvgC,"This book reconstructs the life of a Jesuit missionary in a small inland residence in China (Ch'ang-shu, Chiang-nan Province), primarily but not exclusively on the basis of the evidence of a newly (re)discovered private Account Book covering the period from October 1674 to April/May 1676. This 'pocket' note book mainly represents the missionary's private expenses, and, to a much lesser extent, the revenues he received. As such it is an exceptional document in the missionary documentation. Absolutely unique is the part concerning his personal 'spiritual' exercises, his successes as well as failings in that field. After a lengthy introduction, in which both the life of the author and the complex composition of the Account Book are reconstructed, the text is presented, in a bilingual Latin - English edition. In seven chapters the contents are further described and analysed from various angles: the general topographical setting; the author's ten journeys through the region in 1674-1676; the social contacts referred to; the various aspects of priestly and pastoral life; the means of propagation, written as well as pictorial; the material culture of the mission; the financial structure of the whole undertaking, including the patterns of expenditure revealed. All the evidence available in this Account Book is combined with other contemporary information, mainly from unpublished sources, including a large number of quotations from the lost Couplet--Rougemont correspondence that has survived in Estrix's Elogium F. de Rougemont (1690), the text of which is also published here for the first time. Thus the Account Book assumes its place as an exceptional private document with a major relevance for the reconstruction of missionary life in China.",9058670015,,http://books.google.com/books/content?id=p_0u11hYbvgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,1999,Bibliothèque historique vaudoise,"Rougemont (Suisse, VD)--1080 / 1980--[études diverses]",Rougemont : 9e centenaire : 1080-1980 : choix de textes,Rougemont,8208
"Edera, Bruno",https://books.google.com/books/about/Histoire_du_cin%C3%A9ma_suisse_d_animation.html?hl=&id=-EXEoQEACAAJ,,,,,de,1978,Travelling,cinéma d'animation suisse; ANIMATION: HISTOIRE; SUISSE,Histoire du cinéma suisse d'animation /,Histoire du cinéma suisse d'animation,8229
"Didier, Béatrice",https://books.google.com/books/about/Le_journal_intime_d_un_arbre.html?hl=&id=EgxcNQEACAAJ,,2353030866,,,fr,2012-10-01,Presses universitaires de France,journal intime,Le journal intime /,Le journal intime,8230
"Kaba, Mariama",https://books.google.com/books/about/Malades_incurables_vieillards_infirmes_e.html?hl=&id=qN9LswEACAAJ,Thèse. Lettres. 2011,,,,fr,2011,éditeur non identifié,handicapé--* médecine--Suisse romande--19e s. (début) / 20e s.; handicapé--* sociologie--Suisse romande--19e s. (début) / 20e s.,"Malades incurables, vieillards infirmes et enfants difformes : histoire sociale et médicale du corps handicapé en Suisse romande (XIXe-début Xxe siècle) /","Malades incurables, vieillards infirmes et enfants difformes",8232
"Achard, Lucie",https://books.google.com/books/about/Rosalie_de_Constant_sa_famille_et_ses_am.html?hl=&id=gHy2EAAAQBAJ,""" Il faut en convenir, notre génération est insatiable. Il ne lui suffit pas du présent si rempli, de l’avenir gros de promesses ; il lui faut encore le passé. Pas un de nous, sachant tenir une plume, qui ne s’en aille fouiller dans ses propres souvenirs et dans ceux de ses pères. Tous nous nous demandons si nous n’avons pas une aïeule, un grand-oncle ayant quelque chose à nous dire. Et puis, avec un désintéressement voisin de la vanité, nous nous empressons de faire connaître autour de nous le trésor que nous croyons avoir découvert. C’est ce que nous allons faire ici.""",9791041918348,,http://books.google.com/books/content?id=gHy2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2023-03-29,Ch Eggimann,"Constant de Rebecque, Rosalie","Rosalie de Constant, sa famille et ses amis : 1758-1834 /","Rosalie de Constant, sa famille et ses amis",8234
"Bayles, David Paul 1952-....",https://play.google.com/store/books/details?id=6Y51EAAAQBAJ,"'I always keep a copy of Art & Fear on my bookshelf' JAMES CLEAR, author of the #1 best-seller Atomic Habits 'A book for anyone and everyone who wants to face their fears and get to work' DEBBIE MILLMAN, author and host of the podcast Design Matters 'I've stolen tons of inspiration from this book ... and so will you' AUSTIN KLEON, NYTimes bestselling author of Steal Like an Artist 'The ultimate pep talk for artists' WENDY MACNAUGHTON, illustrator Art & Fear is about the way art gets made, the reasons it often doesn't get made, and the nature of the difficulties that cause so many creatives to give up along the way. Drawing on the authors' own experiences as two working artists, the book delves into the internal and external challenges to making creative work, and shows how they can be overcome every day. First published in 1994, Art & Fear quickly became an underground classic, and word-of-mouth has placed it among the best-selling books on artmaking and creativity. It offers generous and wise insight into what pushes us to sit down at an easel or desk, go to a studio or performance space, and try to create new work to put into the world. Every creative and artist, whether a beginner or a prizewinner, a student or a teacher, faces the same fears - and this book illuminates the way through them.",9781800815995,,http://books.google.com/books/content?id=6Y51EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2023-02-09,Souvenir Press,Self-Help,Art & fear : observations on the perils (and rewards) of artmaking /,Art & fear,8242
"Duns, Joannes Scotus",https://books.google.com/books/about/Joannis_Duns_Scoti_Doctoris_Subtilis_Ord.html?hl=&id=n-nc0AEACAAJ,,059801621X,,,la,1891,L Vivès,Religion,"Joannis Duns Scoti doctoris subtilis, ordinis Minorum, opera omnia","Joannis Duns Scoti doctoris subtilis, ordinis Minorum, opera omnia",8262
Marguerite Duras,https://books.google.com/books/about/Die_Krankheit_Tod.html?hl=&id=LQDsPAAACAAJ,,3596270928,,http://books.google.com/books/content?id=LQDsPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,1986,AROLE Association romande de littérature pour l'enfance et la jeunesse; Institut suisse Jeunesse et médias ISJM,Mort--Dans la littérature pour la jeunesse; Bibliographie analytique,La mort : raconter la mort et le deuil aux enfants /,La mort,8270
"Nora, Marie",https://books.google.com/books/about/Sur_les_pas_des_Huguenots_et_des_Vaudois.html?hl=&id=otFf0AEACAAJ,"""The guide de randonnée « Sur les pas ces Huguenots et des Vaudois du Piémont » invites you to travel in the 17th century. Persécutés pour leur foi, des milliers de Huguenots et de vaudois furent contraints de quitter leur patrie. La plupart cherchèrent à gagner certains États Allemands en traversant the territory of the Confédération. A jalonnée route de souffrances, mais aussi d'espoirs pour ces réfugiés. The cultural heritage spans 580 kilometers between Geneva and Schaffhouse. Il suit les ancient routes des réfugiés, faisant ici or là a petit détour pour mener vers des lieux portant une marque éminente de cet heritage culturel. The guide proposes various stages, three variants and six urban courses (Genève, Lausanne, Neuchâtel, Berne, Zurich and Schaffhouse).""--Publisher",3905865319,,,fr,2023,CFPS Le Repuis; Association vaudoise des amis du Sentiers des Huguenots et des Vaudois du Piémont,Huguenots--Vaud (Suisse); Randonnées historiques--Vaud (Suisse),Sur les pas des Huguenots et des Vaudois du Piémont en Pays de Vaud /,Sur les pas des Huguenots et des Vaudois du Piémont en Pays de Vaud,8290
"Reymond, Maxime, 1872-1951",https://books.google.com/books/about/Les_dignitaires_de_l_%C3%A9glise_Notre_Dame.html?hl=&id=FNQYogEACAAJ,,,,,fr,1913,G Bridel,"Geschichte; Kirchengeschichte; Geistlicher; Genealogie; Lausanne (Suisse, diocèse, VD)--origines / 1536; Lausanne",Les dignitaires de l'église Notre-Dame de Lausanne jusqu'en 1536 /,Les dignitaires de l'église Notre-Dame de Lausanne jusqu'en 1536,8291
"Freeman, Edward Augustus",https://books.google.com/books/about/The_History_of_the_Norman_Conquest_of_En.html?hl=&id=eSlBEAAAQBAJ,"Reprint of the original, first published in 1876.",9783752523904,,http://books.google.com/books/content?id=eSlBEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2021-10-29,Clarendon Press,Fiction,The history of the Norman conquest of England : its causes and its results /,The history of the Norman conquest of England,8355
"Béal, Jean Claude",https://books.google.com/books/about/La_tabletterie_gallo_romaine_%C3%A0_Lousonna.html?hl=&id=-yn8jgEACAAJ,,2880281555,,,fr,2015,De Boccard; Univ Jean Moulin,objet en os romain antique--Musée gallo-romain de Fourvière (Lyon); tabletterie romaine antique--Musée gallo-romain de Fourvière (Lyon),Catalogue des objets de tabletterie du Musée de la civilisation gallo-romaine de Lyon /,Catalogue des objets de tabletterie du Musée de la civilisation gallo-romaine de Lyon,8358
"Robaut, Alfred",https://books.google.com/books/about/L_oeuvre_de_Corot.html?hl=&id=gScQAwAAQBAJ,,9785881237509,,http://books.google.com/books/content?id=gScQAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,1905,Quatre chemins-Editart; Arts et métiers graphiques; L Laget,"Corot, Camille--[catalogue raisonné]",L'oeuvre de Corot : catalogue raisonné et illustré /,L'oeuvre de Corot,8375
,https://books.google.com/books/about/Guide_de_la_propri%C3%A9t%C3%A9_par_%C3%A9tages.html?hl=&id=B4p_uAAACAAJ,,,,,fr,1999,Propriétaires services,Propriété immobilière; Copropriété; Propriété par étages; Suisse; [Guides pratiques et mémentos]; [Règlements],Guide de la propriété par étages : [PPE] /,Guide de la propriété par étages,8406
"Leary, Timothy",https://books.google.com/books/about/La_politique_de_l_extase.html?hl=&id=IKSwxQEACAAJ,"Aux Etats-Unis, la publication de Politique de l'extase fit l'effet d'une bombe. Il s'agissait, en effet, au nom d'expériences religieuses et métaphysiques obtenues grâce aux hallucinogènes, d'une remise en question des fondements mêmes de la culture et de la conscience occidentales. Son auteur s'était rendu célèbre en tant que fondateur et grand prêtre de la religion psychédélique. Dans Politique de l'extase, il expose la genèse de son expérience personnelle qui commença en août 1960, à Cuernavaca au Mexique, par l'absorption d'une poignée de champignons sacrés ; l'extraordinaire maelström de sensations et de visions dans lequel il fut entraîné lui apparut comme une véritable révélation. Au centre de recherches sur la personnalité de l'université de Harvard, Timothy Leary fit de nombreux adeptes et se livra avec eux à des séances collectives, jusqu'au jour, où, en 1963, on le contraignit à démissionner. Livre virulent, provoquant, Politique de l'extase ne relate pas seulement cette extraordinaire aventure, à travers conférences, proclamations, articles, et interviews, il en expose les implications véritablement apocalyptiques puisque c'est d'une évolution- ou plutôt d'une révolution- soudaine et radicale de la conscience qu'il est ici question et donc de l'avenir possible de l'humanité. Si celui qu' Allen Ginsberg appelle “ un héros de la prise de conscience américaine ” est certainement l'un des personnages les plus contestés de notre temps, c'est qu'il en est le contestataire majeur.",2414335645,,,fr,2019-04-19,Fayard,psychédélisme--Etats-Unis--20e s. (2e moitié),Politique de l'extase /,Politique de l'extase,8437
"Katō, Genchi",https://books.google.com/books/about/%C3%80_la_recherche_de_l_identit%C3%A9_japonaise.html?hl=&id=NINTNL_VaqUC,"Parmi les hommes de lettres occidentaux qui vinrent au Japon avant la Seconde Guerre mondiale, Pierre Loti, Lafcadio Hearn et Paul Claudel sont bien connus. Quelles sont leurs observations concernant le shinto (la voie des dieux) ? Elles sont examinées ici dans la perspective d'une mise en relation entre les attitudes culturelles incarnées par ces auteurs.",9782296566514,,http://books.google.com/books/content?id=NINTNL_VaqUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2012,P Geuthner,shintō,Le Shintō : religion nationale du Japon /,Le Shintō,8510
"Maspero, Henri",https://books.google.com/books/about/Le_tao%C3%AFsme_et_les_religions_chinoises.html?hl=&id=GvqCtwEACAAJ,,,,,fr,1981,Gallimard,religion chinoise; taoïsme,Le Taoïsme et les religions chinoises /,Le Taoïsme et les religions chinoises,8511
"Mouralis, Bernard",https://books.google.com/books/about/Les_contre_litt%C3%A9ratures.html?hl=&id=ujwHAQAAIAAJ,,,,http://books.google.com/books/content?id=ujwHAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1975,Presses Universitaires de France,genre littéraire mineur; paralittérature,Les contre-littératures /,Les contre-littératures,8519
"Cantini, Claude",https://books.google.com/books/about/Le_fascisme_italien_%C3%A0_Lausanne_1920_194.html?hl=&id=lksqAQAAMAAJ,,,,http://books.google.com/books/content?id=lksqAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1976,Cedips,"fascisme--Lausanne (Suisse, VD)--1920 / 1943",Le fascisme italien à Lausanne : 1920-1943 /,Le fascisme italien à Lausanne,8650
"Leumann, Manu",https://books.google.com/books/about/Lateinische_Grammatik.html?hl=&id=ig4F_lvsZUYC,,3406014267,,http://books.google.com/books/content?id=ig4F_lvsZUYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,1977,CH Beck,grammaire--latin (langue),Lateinische Grammatik /,Lateinische Grammatik,8679
"Lippolis, Enzo",https://play.google.com/store/books/details?id=sTQxEQAAQBAJ,,9781837066889,,http://books.google.com/books/content?id=sTQxEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,,Istituto per la storia e l'archeologia della Magna Grecia,culte--religion grecque--Tarente (Italie); Tarente (Italie)--* archéologie,Taranto /,Taranto,8682
"Hesychius, Alexandrinus",https://books.google.com/books/about/Hesychii_Alexandrini_Lexicon.html?hl=&id=HmKEtAEACAAJ,"Hesychii Alexandrini Lexicon - Vol. IV, Part 1 ist ein unveränderter, hochwertiger Nachdruck der Originalausgabe aus dem Jahr 1862. Hansebooks ist Herausgeber von Literatur zu unterschiedlichen Themengebieten wie Forschung und Wissenschaft, Reisen und Expeditionen, Kochen und Ernährung, Medizin und weiteren Genres. Der Schwerpunkt des Verlages liegt auf dem Erhalt historischer Literatur. Viele Werke historischer Schriftsteller und Wissenschaftler sind heute nur noch als Antiquitäten erhältlich. Hansebooks verlegt diese Bücher neu und trägt damit zum Erhalt selten gewordener Literatur und historischem Wissen auch für die Zukunft bei.",3337223907,,http://books.google.com/books/content?id=HmKEtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,de,2017-07-13,postea H Dufft; sumptibus F Maukii,,Hesychii Alexandrini Lexicon /,Hesychii Alexandrini Lexicon,8684
"Taillardat, Jean",https://books.google.com/books/about/Les_images_d_Aristophane.html?hl=&id=1-eNvgEACAAJ,,2251325689,,,fr,1965,Les Belles Lettres,image--Aristophane,Les images d'Aristophane : études de langue et de style /,Les images d'Aristophane,8685
"Clouscard, Michel",https://books.google.com/books/about/N%C3%A9o_fascisme_et_id%C3%A9ologie_du_d%C3%A9sir.html?hl=&id=7RSFPQAACAAJ,"Si un texte mérite entre tous l'épithète de prophétique, c'est sans conteste Néo-fascisme et idéologie du désir. Dès l'après-Mai 68, Michel Clouscard prévoit, décrit et décode le parcours qui mène inexorablement de Cohn-Bendit à Le Pen. Soit de 1968 à 1998, après la séquence ascendante des Trente Glorieuses, la réponse régressive de ce qu'il faut bien appeler les Trente Honteuses. Qui parlait alors de néo-fascisme ? Qui n'en parle pas aujourd'hui ? Ce livre présente l'avantage théorique inespéré de déployer les déterminations de l'horreur libérale, que nous commençons tout juste à reconnaître, au moment inaperçu de sa mise en place dans l'intelligentsia. L'originalité de l'auteur est là : renvoyer dos à dos, en les confondant, les mécanismes de l'exploitation capitaliste et la contre-révolution libertaire qui s'en prétend toujours l'alternative. L'élément commun à l'écologisme, au féminisme, au jeunisme, au naturalisme, aussi bien qu'aux investissements suspects sur le corps, le désir, le loisir, voire l'humanitaire, c'est qu'ils ont chacun pour fonction d'occulter la réalité des rapports de classes au nom d'une ontologie intemporelle. A l'heure des critiques confortablement réactionnaires du libéralisme sauvage, la lecture de Néo-fascisme et idéologie du désir reste donc plus que jamais un acte de résistance.",2859203699,,,fr,1999,Denoël/Gonthier,"désir--idéologie--société (milieu humain); désir--Guattari, Félix. ""L'Anti-Oedipe""; désir--Deleuze, Gilles. ""L'Anti-Oedipe""",Néo-fascisme et idéologie du désir : [les tartuffes de la révolution] /,Néo-fascisme et idéologie du désir,8707
"Dostoevskiĭ, Fedor Mikhaĭlovich",https://books.google.com/books/about/Polnoe_sobranie_sochineni%C4%AD_v_tridt%EF%B8%A0s.html?hl=&id=LdYGAQAAIAAJ,,,,http://books.google.com/books/content?id=LdYGAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ru,1972,Izd Nauka,,Polnoe sobranie sochineniĭ v tridt︠s︡ati tomakh : khudozhestvennye proizvedenii︠a︡ toma I-XVII : publit︠s︡istika i pisʹma toma XVIII-XXX /,Polnoe sobranie sochineniĭ v tridt︠s︡ati tomakh,8708
"Praz, Mario",https://books.google.com/books/about/Studies_in_seventeenth_century_imagery.html?hl=&id=dyqRcvekY_QC,,8887114870,,http://books.google.com/books/content?id=dyqRcvekY_QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2001,Ed di storia e letteratura,livre d'emblèmes--16e s. / 19e s.--[bibliographie]; conceptisme--littérature européenne--15e s. / 17e s.--[études diverses]; épigramme--littérature européenne--livre d'emblèmes--16e s. / 17e s.,Studies in seventeenth-century imagery /,Studies in seventeenth-century imagery,8773
Anonymous,https://books.google.com/books/about/Cartulaire_Du_Chapitre_de_Notre_Dame_de.html?hl=&id=S065xAEACAAJ,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",1010921916,,http://books.google.com/books/content?id=S065xAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,2019-03-23,Payot,"cathédrale--chapitre cathédral--Lausanne (Suisse, VD) - Notre-Dame--963 / 1242--[cartulaire]",Cartulaire du Chapitre de Notre-Dame de Lausanne /,Cartulaire du Chapitre de Notre-Dame de Lausanne,8788
Nathalia Brodskaïa,https://play.google.com/store/books/details?id=dWMJAQAAQBAJ,"Félix Vallotton (1865-1925) war ein französischer Künstler der Jahrhundertwende, dessen Werke bürgerliche Konventionen hinterfragten und den Geschlechterkampf thematisierten. In kühl konstruierten Kulissen findet sich eine ästhetische Provokation, die sich die Moderne zum Vorbild nehmen sollte. Die Aufmerksamkeit seiner Zeitgenossen hatte Vallotton jedoch seinen von der japanischen Kunst inspirierten, bemerkenswert elegant komponierten Holzschnitten zu verdanken.",9781780427423,,http://books.google.com/books/content?id=dWMJAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2013-06-27,Bibliothèque des arts,"Vallotton, Félix--[correspondance]",Félix Vallotton : documents pour une biographie et pour l'histoire d'une oeuvre /,Félix Vallotton,8887
"Maya Baumgartner, Union de banques suisses",https://books.google.com/books/about/Lausanne_Saint_Fran%C3%A7ois_16.html?hl=&id=J-fzZwEACAAJ,Historique de la Place St-François à Lausanne ainsi que de la construction du bâtiment de la Société de banques suisse. Avec de nombreux renseignements et d'illustrations sur l'Hôtel Gibbon (démoli en 1920) à la place duquel le bâtiment de la banque fut construit.,,,,fr,2005,Impr réunies; UBS Wealth Management,"banque (bâtiment)--Société de banque suisse--UBS (United Bank of Switzerland, Suisse)--Lausanne (Suisse, VD) - Saint-François",Lausanne Saint-François 16 /,Lausanne Saint-François 16,8908
"Soutter, Louis 1871-1942",https://play.google.com/store/books/details?id=8DQJEAAAQBAJ,"1923 wird der Musiker und Maler Louis Soutter von seiner Familie aufgrund seines exzentrischen Lebensstils in ein Heim im Schweizer Jura eingewiesen. Nur noch sein berühmter Cousin Le Corbusier interessiert sich für ihn. Soutters Bilder verstören, die Kunstwelt seiner Zeit beachtet ihn nicht. So befremdet wie fasziniert lässt sich Le Corbusier auf diese archaische Kunst ein und auf die verschlungenen Lebenswege, die Soutter an diesen Ort geführt haben.",9783257611649,,http://books.google.com/books/content?id=8DQJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2021-02-24,A Kundig; Mermod,"Soutter, Louis",Louis Soutter /,Louis Soutter,8913
D. Stone,https://play.google.com/store/books/details?id=0h_uCwAAQBAJ,"This collection of essays by leading scholars in their fields provides the most comprehensive and up-to-date survey of Holocaust historiography available. Covering both long-established historical disputes as well as research questions and methodologies that have developed in the last decade's massive growth in Holocaust Studies, this collection will be of enormous benefit to students and scholars alike.",9780230524507,,http://books.google.com/books/content?id=0h_uCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,2004-01-20,Garland,Juif--1933 / 1949--[document],The Holocaust : selected documents /,The Holocaust,8929
"Pierrehumbert, William",https://books.google.com/books/about/Dictionnaire_historique_du_parler_neuch.html?hl=&id=JZYIAQAAIAAJ,"Analyse: Ouvrage de base extrêmement riche, concernant également la langue ancienne",,,http://books.google.com/books/content?id=JZYIAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1926,P Attinger; V Attinger,"dialecte--français (langue)--Suisse romande--[dictionnaire multilingue]; dialecte--français (langue)--Neuchâtel (Suisse, canton)--[dictionnaire multilingue]; français (langue)--régionalisme (linguistique)--Neuchâtel (Suisse, canton)--[dictionnaire]; Francoprovençal (langue); Neuchâtelois (dialecte); Français (langue); Mundart; Suisse romande; Neuchâtel (Suisse, canton); [Dictionnaires français]; [Dictionnaires francoprovençaux]; Wörterbuch",Dictionnaire historique du parler neuchâtelois et suisse romand /,Dictionnaire historique du parler neuchâtelois et suisse romand,8965
Pierre Oguey,https://books.google.com/books/about/Cent_cinquante_ans_d_histoire_vaudoise_1.html?hl=&id=UOcoQwAACAAJ,,,,,fr,1953,Payot,Vaud (Suisse)--1803 / 1953,Cent cinquante ans d'histoire vaudoise : 1803-1953 /,Cent cinquante ans d'histoire vaudoise,8967
"Alquié, Ferdinand",https://books.google.com/books/about/La_Conscience_Affective.html?hl=&id=vIBVpGMrJ5oC,,2711600092,,http://books.google.com/books/content?id=vIBVpGMrJ5oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2012-09,J Vrin,affectivité--conscience,La conscience affective /,La conscience affective,8989
"Andersen, Bo Dan",https://books.google.com/books/about/Le_petit_livre_rouge_des_%C3%A9coliers_et_ly.html?hl=&id=GZLvjwEACAAJ,,,,,fr,1968*,CEDIPS,jeune--* psychologie; élève--enseignant--relations interpersonnelles--[guide]; jeune--[guide],Le petit livre rouge des écoliers et lycéens /,Le petit livre rouge des écoliers et lycéens,9006
"Neel, Julien",https://play.google.com/store/books/details?id=ZqPsDwAAQBAJ,"Louisa Clark sitzt fest. Eigentlich wollte sie nur kurz zurück nach England, um neue Ware für ihren Vintage-Mode-Verleih The Bees Knees zu kaufen. Aber plötzlich ist alles anders. Lockdown. Die Welt steht still. Lou hat keine andere Wahl, als die nächsten Wochen bei ihrer liebenswert chaotischen Familie zu verbringen. Dabei macht sie sich große Sorge um ihren Freund Sam, der als Sanitäter in New York arbeitet. Wie so viele andere Mediziner und Pflegekräfte überall auf der Welt bringt er sich täglich in Gefahr, um anderen zu helfen. Doch Lou wäre nicht Lou, wenn sie nicht selbst aus dieser Situation etwas Gutes machen würde ... Lou is back. Jojo Moyes schenkt ihren Leser*innen eine Mut machende Geschichte über Louisa Clark, die Protagonistin aus dem Bestseller ""Ein ganzes halbes Jahr"".",9783644009660,,http://books.google.com/books/content?id=ZqPsDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,de,2020-06-20,Glénat,Bandes dessinées,Lou! /,Lou!,9086
"Duchaussoy, Jacques",https://books.google.com/books/about/Le_bestiaire_divin.html?hl=&id=UwTgAAAAMAAJ,,,,http://books.google.com/books/content?id=UwTgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,1973,Le courrier du livre,animal--symbole,Le bestiaire divin ou La symbolique des animaux /,Le bestiaire divin ou La symbolique des animaux,9129
"Perrier Depeursinge, Camille 1983-",https://books.google.com/books/about/La_m%C3%A9diation_en_droit_p%C3%A9nal_suisse.html?hl=&id=NAoytwAACAAJ,,3719031225,,,fr,2011,Helbing Lichtenhahn,médiation--* droit pénal--Suisse; droit pénal--médiation--* droit comparé--Allemagne--Belgique--France--Suisse; Strafrecht; Mediation(Regelung eines Konflikts); Rechtsvergleichung; Frankreich; Deutschland; Belgien; Schweiz,"La médiation en droit pénal suisse : étude de la législation suisse relative à la médiation pénale à la lumière des droits français, allemand et belge /",La médiation en droit pénal suisse,9173
"Biolzi, Roberto",https://play.google.com/store/books/details?id=uy3yEAAAQBAJ,"À la fin du Moyen Âge, la guerre est au centre des préoccupations de la plupart des principautés européennes. Sans faire exception, les États de Savoie sont impliqués dans maintes opérations militaires, que cela soit dans le but d’acquérir un espace territorial homogène ou en vue d’augmenter leur prestige international. Si le xive siècle est caractérisé par d’importantes victoires face aux rivaux régionaux traditionnels, les premiers ducs de Savoie doivent par la suite s’incliner devant les puissances du nord de l’Italie. Le mercenariat tout comme l’avènement des armes à feu mettent à rude épreuve les ressources de cette petite principauté alpine qui, à l’aube des Temps modernes, doit affronter l’une des crises financières et dynastiques les plus marquantes de son histoire. Ouvert à des perspectives comparatistes, ce livre étudie l’évolution de la pratique de la guerre depuis les origines de la Maison de Savoie jusqu’au principat de Louis Ier (1440-1465), se focalisant en particulier sur les structures de commandement et l’organisation administrative, financière et socio-militaire des armées savoyardes. Pour ce faire, il s’appuie sur un corpus de sources extraordinaire : les comptes des trésoriers des guerres conservés aux Archives d’État de Turin, soit, pour ce type de documents, une des séries les plus riches et complètes du Moyen Âge occidental.",9782753596139,,http://books.google.com/books/content?id=uy3yEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fr,2024-01-30,éditeur non identifié,Savoie (duché).--Armée; 14e siècle-15e siècle; Guerres; Guerriers; Histoire médiévale; Moyen âge; Finances de guerre; Savoie (comté); [Thèses et écrits académiques],"""J'ay grand envie de veoir assaillir"" : guerre, guerriers et finances dans les Etats de Savoie à la fin du Moyen Age (XIVe-XVe s.) /","""J'ay grand envie de veoir assaillir""",9233
"Enders, Giulia, 1990-",https://books.google.com/books/about/Le_charme_discret_de_l_intestin.html?hl=&id=1oFNrgEACAAJ,"Giulia Enders, jeune doctorante et nouvelle star allemande de la médecine, rend ici compte des dernières découvertes sur un organe sous-estimé. Elle explique le rôle que jouent notre ""deuxième cerveau"" et son microbiote (l'ensemble des organismes l'habitant) dans des problèmes tels que le surpoids, la dépression, la maladie de Parkinson, les allergies... Illustré avec beaucoup d'humour par la sœur de l'auteur, cet essai fait l'éloge d'un organe relégué dans le coin tabou de notre conscience. Avec enthousiasme, Giulia Enders invite à changer de comportement alimentaire, à éviter certains médicaments et à appliquer quelques règles très concrètes pour faire du bien à son ventre. Véritable phénomène de librairie, Le Charme discret de l'intestin s'est vendu à 950 000 exemplaires en Allemagne et sera publié dans 26 pays.",2330048815,,http://books.google.com/books/content?id=1oFNrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fr,2013-10-24,Actes Sud,Intestins; Gastroentérologie; Digestion; Intestines; Feeding Behavior; Gastroenterology,Le charme discret de l'intestin : tout sur un organe mal aimé /,Le charme discret de l'intestin,9252
